name,price,url,city,params,year,mileage,engine_volume,horse_power,date
"Renault Logan, 2011",260000,https://auto.drom.ru/moscow/renault/logan/879293195.html,Москва,"1.6 л (84 л.с.) | , | бензин | , | механика | , | передний | , | 400 800 км | 1.6 л (84 л.с.), | бензин, | механика, | передний, | 400 800 км",,400800.0,1.6,6.0,4 часа назад
"Changan UNI-K, 2024",4549900,https://auto.drom.ru/moscow/changan/uni-k/879079472.html,Москва,"2.0 л (226 л.с.) | , | бензин | , | АКПП | , | 4WD | 2.0 л (226 л.с.), | бензин, | АКПП, | 4WD",,,2.0,0.0,4 часа назад
"Subaru Impreza WRX STI, 2007",2000000,https://auto.drom.ru/moscow/subaru/impreza_wrx_sti/878415914.html,Москва,"2.5 л (300 л.с.) | , | бензин | , | механика | , | 4WD | , | 202 000 км | 2.5 л (300 л.с.), | бензин, | механика, | 4WD, | 202 000 км",,202000.0,2.5,5.0,4 часа назад
"Mercedes-Benz E-Class, 2001",650000,https://auto.drom.ru/moscow/mercedes-benz/e-class/878485866.html,Москва,"2.0 л (163 л.с.) | , | бензин | , | АКПП | , | задний | , | 345 000 км | 2.0 л (163 л.с.), | бензин, | АКПП, | задний, | 345 000 км",,345000.0,2.0,0.0,4 часа назад
"Toyota Highlander, 2025",6500000,https://auto.drom.ru/moscow/toyota/highlander/878548684.html,Москва,"2.0 л (248 л.с.) | , | бензин | , | АКПП | , | 4WD | 2.0 л (248 л.с.), | бензин, | АКПП, | 4WD",,,2.0,0.0,4 часа назад
"Audi A7, 2014",3030000,https://auto.drom.ru/moscow/audi/a7/876960756.html,Москва,"3.0 л (245 л.с.) | , | дизель | , | робот | , | 4WD | , | 131 000 км | 3.0 л (245 л.с.), | дизель, | робот, | 4WD, | 131 000 км",,131000.0,3.0,0.0,4 часа назад
"Changan Lamore, 2024",2869900,https://auto.drom.ru/moscow/changan/lamore/876732150.html,Москва,"1.5 л (181 л.с.) | , | бензин | , | робот | , | передний | 1.5 л (181 л.с.), | бензин, | робот, | передний",,,1.5,5.0,4 часа назад
"Citroen C4, 2011",320000,https://auto.drom.ru/moscow/citroen/c4/876951777.html,Москва,"1.6 л (120 л.с.) | , | бензин | , | АКПП | , | передний | , | 62 000 км | 1.6 л (120 л.с.), | бензин, | АКПП, | передний, | 62 000 км",,62000.0,1.6,6.0,4 часа назад
"Эволют i-Jet, 2025",5275000,https://auto.drom.ru/moscow/evolute/i-jet/876330339.html,Москва,"585 л.с. | , | электро | , | АКПП | , | 4WD | 585 л.с., | электро, | АКПП, | 4WD",,,585.0,585.0,4 часа назад
"Haval F7, 2025",3649000,https://auto.drom.ru/moscow/haval/f7/875297902.html,Москва,"2.0 л (192 л.с.) | , | бензин | , | робот | , | 4WD | 2.0 л (192 л.с.), | бензин, | робот, | 4WD",,,2.0,0.0,4 часа назад
